feature,count,mean,std,min,max,zeros
ACK Flag Count,2574264,0.3102490653639254,0.4625954850673925,0.0,1.0,1775601
Active Max,2574264,0.0017073790625064945,0.010943104983439353,0.0,1.0,2015439
Active Mean,2574264,0.0009689825170616209,0.0075429329538862725,0.0,1.0,2015439
Active Min,2574264,0.0006951550410621956,0.006748452433623023,0.0,1.0,2015439
Active Std,2574264,0.0009971660478774627,0.009371431502112783,0.0,1.0,2368730
Average Packet Size,2574264,0.08036823882065681,0.1396964277245817,0.0,1.0,281147
Avg Bwd Segment Size,2574264,0.0821899801045095,0.1458203552759757,0.0,1.0,567205
Avg Fwd Segment Size,2574264,0.014910742608273112,0.04882856082518761,0.0,1.0,338330
Bwd Header Length,2574264,-0.00015571315878270346,0.27752663466499816,-197.12309392589765,1.0,321370
Bwd IAT Max,2574264,0.042927996831094245,0.14940347943710827,0.0,1.0,1037727
Bwd IAT Mean,2574264,0.016549047372695875,0.07750525794734345,0.0,1.0,1037727
Bwd IAT Min,2574264,0.008863689588912965,0.07256204503159248,0.0,1.0,1048018
Bwd IAT Std,2574264,0.01986676584599708,0.07967532476567149,0.0,1.0,1762930
Bwd IAT Total,2574264,0.09066245189884695,0.24962993964374536,0.0,1.0,1037727
Bwd Packet Length Max,2574264,0.07742579207212122,0.17027831308130087,0.0,1.0,567205
Bwd Packet Length Mean,2574264,0.0821899801045095,0.1458203552759757,0.0,1.0,567205
Bwd Packet Length Min,2574264,0.023922580812841814,0.040134222261038834,0.0,1.0,1297123
Bwd Packet Length Std,2574264,0.06650894771981383,0.13396577837075216,0.0,1.0,1770271
Bwd Packets/s,2574264,0.0033023312728488055,0.019154421661227838,0.0,1.0,322240
CWE Flag Count,2574264,3.107684371144529e-05,0.0055745742385612035,0.0,1.0,2574184
Destination Port,2574264,0.13033716239391255,0.2881876248028333,0.0,1.0,1589
Down/Up Ratio,2574264,0.027904530015205126,0.04552347699873232,0.0,1.0,914617
ECE Flag Count,2574264,0.00026764931646482257,0.01635780181773268,0.0,1.0,2573575
FIN Flag Count,2574264,0.031600488527983146,0.17493398084070444,0.0,1.0,2492916
Flow Bytes/s,2574264,0.0011817906599655718,0.02554206398706826,-0.12608695652173912,1.0,281147
Flow Duration,2574264,0.13539254801664075,0.2912092936113985,-1.0833337937501957e-07,1.0,1624
Flow IAT Max,2574264,0.0840471717997487,0.2121633239689184,-1.0833333333333334e-07,1.0,1623
Flow IAT Mean,2574264,0.01198507453203249,0.03895338307091504,-1.2149532710280374e-07,1.0,1624
Flow IAT Min,2574264,0.0013976615852106255,0.024925968930590233,-1.2149532710280374e-07,1.0,73532
Flow IAT Std,2574264,0.039028751690263964,0.10127220061849386,0.0,1.0,793583
Flow Packets/s,2574264,0.0149992183229904,0.06645609506733229,-0.6666666666666666,1.0,0
Fwd Header Length,2574264,-0.0065153134820597714,5.225434516746802,-7623.1221896272145,1.0,1651
Fwd IAT Max,2574264,0.08276897732964647,0.21282090183966978,0.0,1.0,631152
Fwd IAT Mean,2574264,0.02382192315806788,0.08267139500293763,0.0,1.0,631152
Fwd IAT Min,2574264,0.009267404482960954,0.07471987270110832,-1e-07,1.0,662751
Fwd IAT Std,2574264,0.0433376884411289,0.12102450857125771,0.0,1.0,1525565
Fwd IAT Total,2574264,0.13261916241677554,0.29063634063328025,0.0,1.0,631152
Fwd PSH Flags,2574264,0.048107342525863704,0.21399305157168755,0.0,1.0,2450423
Fwd Packet Length Max,2574264,0.011582227191601544,0.04670940739933622,0.0,1.0,338330
Fwd Packet Length Mean,2574264,0.014910742608273112,0.04882856082518761,0.0,1.0,338330
Fwd Packet Length Min,2574264,0.010257638096004301,0.03784223929771334,0.0,1.0,1200267
Fwd Packet Length Std,2574264,0.012428185891041011,0.04604734286005354,0.0,1.0,1600795
Fwd Packets/s,2574264,0.01360261933538182,0.06415739048811171,0.0,1.0,1737
Fwd URG Flags,2574264,3.107684371144529e-05,0.0055745742385612035,0.0,1.0,2574184
Idle Max,2574264,0.07967485432769326,0.2115686694149861,0.0,1.0,2007029
Idle Mean,2574264,0.07619529476548767,0.2052067778093865,0.0,1.0,2007029
Idle Min,2574264,0.07256645782538233,0.20298211980980443,0.0,1.0,2007029
Idle Std,2574264,0.0076116344566566005,0.06666803268444244,0.0,1.0,2345021
Init_Win_bytes_backward,2574264,0.03336109690229305,0.13494487606351344,-1.5259021896696422e-05,1.0,202196
Init_Win_bytes_forward,2574264,0.10902698010885517,0.22159954979808455,-1.5259021896696422e-05,1.0,80969
Max Packet Length,2574264,0.05697712143672291,0.12851045315467485,0.0,1.0,281147
Min Packet Length,2574264,0.015912338662424738,0.028203211719818266,0.0,1.0,1226127
PSH Flag Count,2574264,0.291523713185594,0.4544641216158626,0.0,1.0,1823805
Packet Length Mean,2574264,0.08359865178024045,0.14899401473138185,0.0,1.0,281147
Packet Length Std,2574264,0.07435123994918232,0.14623056743427187,0.0,1.0,571776
Packet Length Variance,2574264,0.026935839150231466,0.08294008565292645,0.0,1.0,571776
RST Flag Count,2574264,0.00026648393482564336,0.01632216043108642,0.0,1.0,2573578
SYN Flag Count,2574264,0.048107342525863704,0.21399305157168755,0.0,1.0,2450423
Subflow Bwd Bytes,2574264,0.00016425694800475696,0.00503299105650194,0.0,1.0,567205
Subflow Bwd Packets,2574264,0.00028248649330831356,0.005153624530783649,0.0,1.0,321238
Subflow Fwd Bytes,2574264,0.0007826695935393388,0.0066384796829172315,0.0,1.0,338330
Subflow Fwd Packets,2574264,0.0003546247092297967,0.0049098610640704796,4.550439344918752e-06,1.0,0
Total Backward Packets,2574264,0.00028248649330831356,0.005153624530783649,0.0,1.0,321238
Total Fwd Packets,2574264,0.0003546247092297967,0.0049098610640704796,4.550439344918752e-06,1.0,0
Total Length of Bwd Packets,2574264,0.0001642496395861084,0.005033010140437645,0.0,1.0,567205
Total Length of Fwd Packets,2574264,0.0007826531521230478,0.0066384649366786576,0.0,1.0,338330
URG Flag Count,2574264,0.10052465481395848,0.3006982683496747,0.0,1.0,2315487
act_data_pkt_fwd,2574264,0.00028161116967490984,0.0047661603454466515,0.0,1.0,808175
min_seg_size_forward,2574264,-33.988847437413646,14062.879283525055,-8947844.35,1.0,1720
