feature,count,mean,std,min,max
ACK Flag Count,2830743,0.31584428540492726,0.4648512372598121,0.0,1.0
Active Max,2830743,153182.52126950416,1025824.7937173253,0.0,110000000.0
Active Mean,2830743,81551.32725507049,648599.821284662,0.0,110000000.0
Active Min,2830743,58295.8177443166,577092.1799772088,0.0,110000000.0
Active Std,2830743,41134.11868474107,393381.4455814181,0.0,74200000.0
Average Packet Size,2830743,191.98364952240453,331.86029577887524,0.0,3893.333251953125
Avg Bwd Segment Size,2830743,305.9493016497789,605.2566798974394,0.0,5800.5
Avg Fwd Segment Size,2830743,58.201937971762185,186.0911231881784,0.0,5940.85693359375
Bwd Avg Bulk Rate,2830743,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,2830743,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,2830743,0.0,0.0,0.0,0.0
Bwd Header Length,2830743,-2273.2753195892387,1452208.6830843794,-1073741320.0,5838440.0
Bwd IAT Max,2830743,4684692.427954428,17160947.02745238,0.0,120000000.0
Bwd IAT Mean,2830743,1805783.635145967,8887195.535859758,0.0,120000000.0
Bwd IAT Min,2830743,967261.3707574301,8308981.623681651,0.0,120000000.0
Bwd IAT Std,2830743,1485973.1750031705,6278467.496835265,0.0,84418016.0
Bwd IAT Total,2830743,9893830.350136695,28736609.12307907,0.0,120000000.0
Bwd PSH Flags,2830743,0.0,0.0,0.0,0.0
Bwd Packet Length Max,2830743,870.849454719132,1946.3670330837713,0.0,19530.0
Bwd Packet Length Mean,2830743,305.9493016497789,605.2566798974394,0.0,5800.5
Bwd Packet Length Min,2830743,41.049579209416045,68.8625904839022,0.0,2896.0
Bwd Packet Length Std,2830743,335.32570247458,839.6930741677504,0.0,8194.66015625
Bwd Packets/s,2830743,6995.19153522591,38151.69117168986,0.0,2000000.0
Bwd URG Flags,2830743,0.0,0.0,0.0,0.0
CWE Flag Count,2830743,0.00011127820505075876,0.010548261572972081,0.0,1.0
Destination Port,2830743,8071.482501237308,18283.628942899497,0.0,65535.0
Down/Up Ratio,2830743,0.6835004096097739,0.6804918658837006,0.0,156.0
ECE Flag Count,2830743,0.00024339899453959613,0.015599350995123266,0.0,1.0
FIN Flag Count,2830743,0.035379757187423935,0.18473773293180484,0.0,1.0
Flow Bytes/s,2827876,1491719.0701827095,25940151.176098045,-261000000.0,2071000064.0
Flow Duration,2830743,14785663.929521684,33653738.14152417,-13.0,119999998.0
Flow IAT Max,2830743,9182475.317050682,24459534.930503033,-13.0,120000000.0
Flow IAT Mean,2830743,1298448.8065557347,4507943.349032128,-13.0,120000000.0
Flow IAT Min,2830743,162379.56178430893,2950281.255691299,-14.0,120000000.0
Flow IAT Std,2830743,2919270.8856211957,8045868.370618257,0.0,84800264.0
Flow Packets/s,2827876,70854.22782611402,254415.39611172376,-2000000.0,4000000.0
Fwd Avg Bulk Rate,2830743,0.0,0.0,0.0,0.0
Fwd Avg Bytes/Bulk,2830743,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,2830743,0.0,0.0,0.0,0.0
Fwd Header Length,2830743,-25997.391975887604,21052854.15456371,-32212234632.0,4644908.0
Fwd Header Length.1,2830743,-25997.391975887604,21052854.15456371,-32212234632.0,4644908.0
Fwd IAT Max,2830743,9042938.558814418,24529153.067062616,0.0,120000000.0
Fwd IAT Mean,2830743,2610192.893735673,9525720.823501611,0.0,120000000.0
Fwd IAT Min,2830743,1021892.905134447,8591434.821031015,-12.0,120000000.0
Fwd IAT Std,2830743,3266957.4732344123,9639053.612449637,0.0,84602928.0
Fwd IAT Total,2830743,14482961.734189222,33575805.715901375,0.0,120000000.0
Fwd PSH Flags,2830743,0.04644646299575765,0.21044996809441754,0.0,1.0
Fwd Packet Length Max,2830743,207.59994107554095,717.184715080449,0.0,24820.0
Fwd Packet Length Mean,2830743,58.201937971762185,186.0911231881784,0.0,5940.85693359375
Fwd Packet Length Min,2830743,18.713656096650244,60.33933469315444,0.0,2325.0
Fwd Packet Length Std,2830743,68.91014267278945,281.18704024949733,0.0,7125.5966796875
Fwd Packets/s,2830743,63865.34597312437,247537.08775927607,0.0,3000000.0
Fwd URG Flags,2830743,0.00011127820505075876,0.010548261572972081,0.0,1.0
Idle Max,2830743,8695751.984585673,24366884.025068793,0.0,120000000.0
Idle Mean,2830743,8316037.735110534,23630074.01379206,0.0,120000000.0
Idle Min,2830743,7920031.014637146,23363414.800748855,0.0,120000000.0
Idle Std,2830743,503843.948520936,4602983.667751185,0.0,76900000.0
Init_Win_bytes_backward,2830743,1989.4329767838337,8456.881663225531,-1.0,65535.0
Init_Win_bytes_forward,2830743,6989.837446211119,14338.723304139765,-1.0,65535.0
Max Packet Length,2830743,950.4024445172168,2028.2287880893084,0.0,24820.0
Min Packet Length,2830743,16.43450465125234,25.237716339904367,0.0,1448.0
PSH Flag Count,2830743,0.29807050657724843,0.45741062480667294,0.0,1.0
Packet Length Mean,2830743,171.94439728368135,305.49140323335735,0.0,3337.142822265625
Packet Length Std,2830743,294.97556648554814,631.7999569816474,0.0,4731.5224609375
